"Jak oceniasz swoją ogólną wiedzę o suplementach diety? Skala 1–5 (1 – bardzo niska, 5 – bardzo wysoka)";"Jak oceniasz swoją wiedzę na temat bezpieczeństwa suplementacji? Skala 1–5";"Jak oceniasz swoją wiedzę na temat interakcji suplementów z lekami?";"Suplement diety to:";"Czy suplementy muszą przechodzić badania kliniczne przed wprowadzeniem na rynek?";"Nadmierne spożycie witaminy D może prowadzić do:";"Kto odpowiada za bezpieczeństwo suplementów diety?";"Czy suplementy mogą wchodzić w interakcje z lekami?";"Czy suplementy mogą zawierać składniki w ilościach przekraczających zapotrzebowanie?"
"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Poprawa samopoczucia";"Internet (artykuły, blogi),Lekarz";"3";"2";"3";"Środek spożywczy uzupełniający dietę";"Tylko niektóre";"Uszkodzenia nerek"
"2";"2";"1";"Środek spożywczy uzupełniający dietę";"Nie wiem";"Nie wiem";"Sanepid bada każdy produkt przed sprzedażą";"Tylko witaminy";"Nie wiem"
"Poprawa zdrowia,Zapobieganie niedoborom,Poprawa wyglądu (skóra, włosy, paznokcie),Poprawa koncentracji,Poprawa samopoczucia";"Media społecznościowe";"4";"4";"4";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent"
"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z dietetykiem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Lekarz,Dietetyk,Farmaceuta";"4";"3";"3";"Środek spożywczy uzupełniający dietę"
"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Tak, z dietetykiem";"Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Reklamy,Dietetyk,Farmaceuta";"3";"4";"4";"Środek spożywczy uzupełniający dietę";"Nie"
"Poprawa zdrowia,Poprawa wyglądu (skóra, włosy, paznokcie)";"Internet (artykuły, blogi),Media społecznościowe,Znajomi/rodzina";"1";"1";"1";"Preparat o udowodnionym działaniu terapeutycznym";"Tak";"Nie wiem";"Ministerstwo Zdrowia"
"Wzmocnienie odporności";"Poprawa samopoczucia";"Internet (artykuły, blogi),Lekarz,Dietetyk,Farmaceuta";"2";"2";"1";"Środek spożywczy uzupełniający dietę";"Tak";"Niedokrwistości"
"Nie, nie konsultuję";"Wzmocnienie odporności";"Zwiększenie energii";"Poprawa koncentracji";"Poprawa samopoczucia";"Internet (artykuły, blogi),Znajomi/rodzina";"2";"3";"4"
"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie)";"Media społecznościowe";"Farmaceuta";"Znajomi/rodzina";"3";"2";"1";"Środek spożywczy uzupełniający dietę";"Nie"
"Często – uważam, że standardowe dawki są zbyt niskie.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z dietetykiem";"Poprawa zdrowia";"Zapobieganie niedoborom";"Wzmocnienie odporności";"Zwiększenie energii";"Poprawa samopoczucia"
"Internet (artykuły, blogi),Media społecznościowe,Lekarz,Dietetyk";"3";"4";"3";"Środek spożywczy uzupełniający dietę";"Nie wiem";"Brak skutków ubocznych";"Producent";"Nie wiem"
"Tak, z dietetykiem";"Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa samopoczucia";"Lekarz";"Dietetyk";"5";"5";"5";"Środek spożywczy uzupełniający dietę";"Nie"
"Poprawa zdrowia,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Farmaceuta,Znajomi/rodzina";"3";"3";"3";"Środek spożywczy uzupełniający dietę";"Tak";"Nie wiem";"Nie wiem"
"Poprawa zdrowia";"Wzmocnienie odporności";"Internet (artykuły, blogi),Farmaceuta";"2";"2";"2";"Środek spożywczy uzupełniający dietę";"Tak";"Uszkodzenia nerek"
"Nie, nie sprawdzam tego.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Tak, z farmaceutą";"Poprawa zdrowia";"Zwiększenie energii";"Poprawa koncentracji";"Internet (artykuły, blogi),Media społecznościowe,Farmaceuta,Znajomi/rodzina";"2";"2"
"Wzmocnienie odporności";"Zwiększenie energii";"Poprawa koncentracji";"Internet (artykuły, blogi),Media społecznościowe,Reklamy,Lekarz";"2";"3";"4";"Produkt leczniczy";"Tak"
"Internet (artykuły, blogi),Media społecznościowe,Reklamy";"2";"2";"1";"Preparat o udowodnionym działaniu terapeutycznym";"Tak";"Brak skutków ubocznych";"Ministerstwo Zdrowia";"Nie wiem"
"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Dietetyk";"Interesuję się ziołami i jestem członkiem grupy stosującej nutraceutyki Arbonne";"4";"4";"3";"Środek spożywczy uzupełniający dietę";"Nie"
"Poprawa zdrowia";"Zapobieganie niedoborom";"Wzmocnienie odporności";"Poprawa samopoczucia";"Media społecznościowe";"Znajomi/rodzina";"3";"3";"2"
"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Lekarz,Farmaceuta,Znajomi/rodzina";"4";"4";"3";"Środek spożywczy uzupełniający dietę";"Nie"
"Internet (artykuły, blogi)";"2";"2";"3";"Produkt leczniczy";"Nie wiem";"Nie wiem";"Nie wiem";"Tak"
"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Zapobieganie niedoborom";"Wzmocnienie odporności";"Poprawa samopoczucia";"Media społecznościowe";"Znajomi/rodzina";"4";"3"
"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Media społecznościowe,Lekarz";"3";"3";"3";"Środek spożywczy uzupełniający dietę"
"4";"4";"4";"Produkt leczniczy";"Tak";"Nie wiem";"Nie wiem";"Tak";"Tak"
"3";"3";"2";"Środek spożywczy uzupełniający dietę";"Nie wiem";"Uszkodzenia nerek";"Nie wiem";"Tak";"Tak"
"2";"1";"2";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Poprawa zdrowia";"Zapobieganie niedoborom";"Wzmocnienie odporności";"Poprawa samopoczucia";"Media społecznościowe";"Reklamy";"Lekarz";"Znajomi/rodzina";"2"
"Dietetyk";"4";"5";"5";"Środek spożywczy uzupełniający dietę";"Tylko niektóre";"Uszkodzenia nerek";"Producent";"Tak"
"2";"1";"2";"Środek spożywczy uzupełniający dietę";"Nie";"Niedokrwistości";"Sanepid bada każdy produkt przed sprzedażą";"Tak";"Tak"
"Internet (artykuły, blogi),Media społecznościowe,Farmaceuta,Znajomi/rodzina";"3";"4";"2";"Środek spożywczy uzupełniający dietę";"Tak";"Nie wiem";"Nie wiem";"Tak"
"Tak, z lekarzem";"Poprawa zdrowia";"Zwiększenie energii";"Poprawa samopoczucia";"Internet (artykuły, blogi),Lekarz,Farmaceuta,Znajomi/rodzina";"4";"3";"3";"Środek spożywczy uzupełniający dietę"
"Nie, nie konsultuję";"Poprawa zdrowia,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii";"Internet (artykuły, blogi),Media społecznościowe";"4";"4";"3";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek"
"Internet (artykuły, blogi),Media społecznościowe,Reklamy,Znajomi/rodzina";"3";"2";"2";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Sanepid bada każdy produkt przed sprzedażą";"Tak"
"Poprawa zdrowia";"Zapobieganie niedoborom";"Choroba";"Farmaceuta";"Rzetelne zrodla w internecie";"4";"4";"4";"Środek spożywczy uzupełniający dietę"
"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z farmaceutą";"Poprawa zdrowia";"Zapobieganie niedoborom";"Zwiększenie energii";"Poprawa samopoczucia";"Internet (artykuły, blogi),Lekarz,Dietetyk,Farmaceuta";"4";"3"
"Poprawa samopoczucia";"Internet (artykuły, blogi),Media społecznościowe,Reklamy";"2";"2";"2";"Środek spożywczy uzupełniający dietę";"Tylko niektóre";"Nie wiem";"Sanepid bada każdy produkt przed sprzedażą"
"Poprawa samopoczucia";"Karmię piersią a mam ograniczoną dietę przez alergie i problemy jelitowe";"Internet (artykuły, blogi),Media społecznościowe,Lekarz,Dietetyk";"4";"4";"2";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek"
"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Lekarz,Farmaceuta";"4";"4";"3";"Produkt leczniczy";"Tak";"Nie wiem"
"Wzmocnienie odporności";"Zwiększenie energii";"Poprawa koncentracji";"Poprawa samopoczucia";"Internet (artykuły, blogi),Media społecznościowe";"3";"3";"2";"Produkt leczniczy"
"Internet (artykuły, blogi),Media społecznościowe,Lekarz,Dietetyk,Farmaceuta";"4";"4";"5";"Środek spożywczy uzupełniający dietę";"Tak";"Uszkodzenia nerek";"Nie wiem";"Tak"
"Nie, nie konsultuję";"Zapobieganie niedoborom";"Wzmocnienie odporności";"Zwiększenie energii";"Poprawa koncentracji";"Znajomi/rodzina";"4";"4";"4"
"Zapobieganie niedoborom";"Wzmocnienie odporności";"Zwiększenie energii";"Poprawa koncentracji";"Internet (artykuły, blogi)";"5";"5";"5";"Środek spożywczy uzupełniający dietę"
"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z farmaceutą";"Poprawa zdrowia";"Zapobieganie niedoborom";"Wzmocnienie odporności";"Zwiększenie energii";"Poprawa koncentracji"
"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Tak, z farmaceutą";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Media społecznościowe,Farmaceuta,Znajomi/rodzina";"4";"2";"2";"Środek spożywczy uzupełniający dietę";"Tylko niektóre"
"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Tak, z dietetykiem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Lekarz,Dietetyk,Znajomi/rodzina";"4";"4";"5";"Środek spożywczy uzupełniający dietę";"Nie"
"Poprawa zdrowia,Zapobieganie niedoborom,Poprawa wyglądu (skóra, włosy, paznokcie),Poprawa koncentracji";"Internet (artykuły, blogi),Znajomi/rodzina";"3";"3";"3";"Środek spożywczy uzupełniający dietę";"Tylko niektóre";"Nie wiem";"Nie wiem"
"Zapobieganie niedoborom";"Lekarz";"Dietetyk";"Farmaceuta";"4";"3";"3";"Środek spożywczy uzupełniający dietę";"Nie"
"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Poprawa zdrowia";"Wzmocnienie odporności";"Internet (artykuły, blogi),Lekarz,Dietetyk";"4";"4";"4";"Środek spożywczy uzupełniający dietę"
"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Farmaceuta";"4";"4";"3"
"Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie)";"Internet (artykuły, blogi),Media społecznościowe,Lekarz,Farmaceuta";"4";"4";"4";"Środek spożywczy uzupełniający dietę";"Nie wiem";"Niedokrwistości";"Nie wiem"
"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Media społecznościowe";"4";"4";"4";"Środek spożywczy uzupełniający dietę";"Tak"
"3";"3";"3";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi)";"4";"3";"3"
"Nie, nie konsultuję";"Zapobieganie niedoborom";"Wzmocnienie odporności";"Poprawa koncentracji";"Poprawa samopoczucia";"Internet (artykuły, blogi)";"3";"3";"4"
"Internet (artykuły, blogi)";"1";"1";"1";"Produkt leczniczy";"Nie wiem";"Nie wiem";"Producent";"Tak"
"Tak, specjalista medycyny funkcjonalnej";"Poprawa zdrowia";"Zapobieganie niedoborom";"Wzmocnienie odporności";"Internet (artykuły, blogi)";"5";"5";"5";"Środek spożywczy uzupełniający dietę"
"Internet (artykuły, blogi),Media społecznościowe";"4";"5";"5";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak"
"Internet (artykuły, blogi),Lekarz,Dietetyk,Farmaceuta";"4";"4";"4";"Produkt leczniczy";"Tak";"Uszkodzenia nerek";"Producent";"Tak"
"Lekarz";"2";"3";"1";"Środek spożywczy uzupełniający dietę";"Tak";"Nie wiem";"Nie wiem";"Nie wiem"
"Wzmocnienie odporności";"Lekarz";"Znajomi/rodzina";"5";"4";"4";"Środek spożywczy uzupełniający dietę";"Tak";"Niedokrwistości"
"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Poprawa zdrowia";"Zapobieganie niedoborom";"Wzmocnienie odporności";"Poprawa koncentracji";"Poprawa samopoczucia";"Internet (artykuły, blogi),Media społecznościowe,Lekarz,Farmaceuta,Znajomi/rodzina";"3"
"Nie, nie konsultuję";"Zapobieganie niedoborom";"Wzmocnienie odporności";"Poprawa samopoczucia";"Internet (artykuły, blogi),Farmaceuta";"3";"3";"3";"Środek spożywczy uzupełniający dietę"
"3";"4";"5";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Media społecznościowe,Lekarz,Dietetyk";"2";"4";"2";"Środek spożywczy uzupełniający dietę";"Nie wiem";"Nie wiem"
"Czasami zwracam na to uwagę";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Lekarz,Znajomi/rodzina";"3";"2";"1";"Środek spożywczy uzupełniający dietę"
"3";"3";"4";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
