"W jakiej formie najchętniej zdobywał(a)byś rzetelną wiedzę o suplementach?";"Które źródło uznał(a)byś za najbardziej wiarygodne?";"Co mogłoby zachęcić Cię do zdobywania wiedzy o suplementach?"
"Materiały lub nagrania,Posty na Instagramie/TikToku";"Opinia zespołu lub instytutu";"Chęć zadbania o zdrowie"
"Materiały lub nagrania,Materiały lub nagrania,Szkolenia,Konsultacja ze specjalistą,Posty na Instagramie/TikToku";"Opinia zespołu lub instytutu";"Rzetelne informacje"
"Materiały lub nagrania,Posty na Instagramie/TikToku";"Opinia pojedynczego specjalisty";"Brak"
"Materiały lub nagrania,Posty na Instagramie/TikToku";"Naukowe portale internetowe";"Rzetelne informacje"
"Materiały lub nagrania,Szkolenia,Konsultacja ze specjalistą";"Opinia pojedynczego specjalisty";"Lepsza edukacja"
"Materiały lub nagrania,Materiały lub nagrania,Materiały lub nagrania,Szkolenia,Konsultacja ze specjalistą,Posty na Instagramie/TikToku,Artykuły naukowe lub popularnonaukowe";"Opinia pojedynczego specjalisty";"Ciekawość"
"Materiały lub nagrania,Szkolenia,Konsultacja ze specjalistą,Konsultacja ze specjalistą";"Opinia zespołu lub instytutu";"Chęć zadbania o zdrowie"
"Materiały lub nagrania,Materiały lub nagrania,Materiały lub nagrania,Szkolenia";"Opinia pojedynczego specjalisty";"Lepsza edukacja"
"Materiały lub nagrania,Materiały lub nagrania,Szkolenia,Artykuły naukowe lub popularnonaukowe";"Opinia zespołu lub instytutu";"Lepsza edukacja"
"Materiały lub nagrania,Szkolenia,Artykuły naukowe lub popularnonaukowe";"Opinia pojedynczego specjalisty";"Lepsza edukacja"
"Materiały lub nagrania,Materiały lub nagrania,Materiały lub nagrania,Konsultacja ze specjalistą";"Opinia pojedynczego specjalisty";"Konsultacja ze specjalistą"
"Materiały lub nagrania,Konsultacja ze specjalistą,Posty na Instagramie/TikToku,Artykuły naukowe lub popularnonaukowe";"Opinia pojedynczego specjalisty";"Lepsza edukacja"
"Materiały lub nagrania,Posty na Instagramie/TikToku,Artykuły naukowe lub popularnonaukowe";"Opinia pojedynczego specjalisty";"Chęć zadbania o zdrowie"
"Materiały lub nagrania,Posty na Instagramie/TikToku";"Opinia pojedynczego specjalisty";"Lepsza edukacja"
"Materiały lub nagrania,Materiały lub nagrania,Szkolenia,Artykuły naukowe lub popularnonaukowe";"Opinia pojedynczego specjalisty";"Rzetelne informacje"
"Materiały lub nagrania,Posty na Instagramie/TikToku,Artykuły naukowe lub popularnonaukowe";"Opinia pojedynczego specjalisty";"Chęć zadbania o zdrowie"
"Materiały lub nagrania,Szkolenia";"Opinia pojedynczego specjalisty";"Rzetelne informacje"
"Materiały lub nagrania,Materiały lub nagrania,Konsultacja ze specjalistą,Posty na Instagramie/TikToku";"Opinia pojedynczego specjalisty";"Nagrania edukacyjne"
"Materiały lub nagrania,Szkolenia,Posty na Instagramie/TikToku,Artykuły naukowe lub popularnonaukowe";"Opinia pojedynczego specjalisty";"Materiały edukacyjne"
"Konsultacja ze specjalistą,Artykuły naukowe lub popularnonaukowe";"Opinia pojedynczego specjalisty";"Rzetelne informacje"
"Materiały lub nagrania,Materiały lub nagrania,Posty na Instagramie/TikToku";"Naukowe portale internetowe";"Ciekawość"
"Szkolenia,Konsultacja ze specjalistą";"Inne";"Lepsza edukacja"
"Materiały lub nagrania,Materiały lub nagrania";"Opinia pojedynczego specjalisty";"Chęć zadbania o zdrowie"
"Materiały lub nagrania";"Opinia pojedynczego specjalisty";"Rzetelne informacje"
"Konsultacja ze specjalistą,Posty na Instagramie/TikToku";"Opinia zespołu lub instytutu";"Ciekawość"
"Materiały lub nagrania,Szkolenia";"Opinia pojedynczego specjalisty";"Lepsza edukacja"
"Materiały lub nagrania,Materiały lub nagrania,Artykuły naukowe lub popularnonaukowe";"Naukowe portale internetowe";"Brak"
"Materiały lub nagrania,Posty na Instagramie/TikToku";"Opinia pojedynczego specjalisty";"Brak"
"Materiały lub nagrania,Materiały lub nagrania,Szkolenia,Artykuły naukowe lub popularnonaukowe";"Opinia pojedynczego specjalisty";"Chęć zadbania o zdrowie"
"Szkolenia,Posty na Instagramie/TikToku,Artykuły naukowe lub popularnonaukowe";"Opinia pojedynczego specjalisty";"Lepsza edukacja"
"Materiały lub nagrania,Szkolenia,Konsultacja ze specjalistą,Artykuły naukowe lub popularnonaukowe";"Opinia pojedynczego specjalisty";"Lepsza edukacja"
"Materiały lub nagrania,Posty na Instagramie/TikToku";"Opinia pojedynczego specjalisty";"Lepsza edukacja"
"Materiały lub nagrania,Artykuły naukowe lub popularnonaukowe";"Opinia zespołu lub instytutu";"Brak"
"Posty na Instagramie/TikToku";"Opinia pojedynczego specjalisty";"Brak"
"Materiały lub nagrania,Konsultacja ze specjalistą,Artykuły naukowe lub popularnonaukowe";"Naukowe portale internetowe";"Chęć zadbania o zdrowie"
"Materiały lub nagrania,Materiały lub nagrania,Szkolenia,Posty na Instagramie/TikToku,Artykuły naukowe lub popularnonaukowe";"Opinia zespołu lub instytutu";"Brak"
"Materiały lub nagrania";"Opinia zespołu lub instytutu";"Badania naukowe"
"Materiały lub nagrania,Posty na Instagramie/TikToku";"Opinia pojedynczego specjalisty";"Lepsza edukacja"
"Szkolenia,Artykuły naukowe lub popularnonaukowe";"Opinia pojedynczego specjalisty";"Chęć zadbania o zdrowie"
"Materiały lub nagrania,Materiały lub nagrania,Konsultacja ze specjalistą,Artykuły naukowe lub popularnonaukowe";"Naukowe portale internetowe";"Lepsza edukacja"
"Konsultacja ze specjalistą";"Opinia zespołu lub instytutu";"Ciekawość"
"Materiały lub nagrania,Szkolenia,Artykuły naukowe lub popularnonaukowe";"Opinia zespołu lub instytutu";"Brak"
"Materiały lub nagrania,Materiały lub nagrania,Szkolenia";"Opinia pojedynczego specjalisty";"Rzetelne informacje"
"Materiały lub nagrania,Posty na Instagramie/TikToku";"Opinia pojedynczego specjalisty";"Rzetelne informacje"
"Materiały lub nagrania,Materiały lub nagrania,Posty na Instagramie/TikToku,Artykuły naukowe lub popularnonaukowe";"Opinia pojedynczego specjalisty";"Brak"
"Artykuły naukowe lub popularnonaukowe";"Naukowe portale internetowe";"Lepsza edukacja"
"Artykuły naukowe lub popularnonaukowe";"Naukowe portale internetowe";"Badania naukowe"
"Konsultacja ze specjalistą";"Opinia pojedynczego specjalisty";"Nagrania edukacyjne"
"Materiały lub nagrania,Materiały lub nagrania,Konsultacja ze specjalistą,Posty na Instagramie/TikToku";"Opinia pojedynczego specjalisty";"Brak"
"Materiały lub nagrania,Materiały lub nagrania,Szkolenia,Konsultacja ze specjalistą,Artykuły naukowe lub popularnonaukowe";"Naukowe portale internetowe";"Badania naukowe"
"Materiały lub nagrania,Materiały lub nagrania,Artykuły naukowe lub popularnonaukowe";"Opinia zespołu lub instytutu";"Rzetelne informacje"
"Materiały lub nagrania";"Opinia pojedynczego specjalisty";"Chęć zadbania o zdrowie"
"Materiały lub nagrania,Konsultacja ze specjalistą";"Opinia pojedynczego specjalisty";"Chęć zadbania o zdrowie"
"Materiały lub nagrania,Materiały lub nagrania,Posty na Instagramie/TikToku,Artykuły naukowe lub popularnonaukowe";"Naukowe portale internetowe";"Rzetelne informacje"
"Materiały lub nagrania,Materiały lub nagrania";"Opinia zespołu lub instytutu";"Brak"
"Materiały lub nagrania,Konsultacja ze specjalistą,Posty na Instagramie/TikToku";"Opinia pojedynczego specjalisty";"Chęć zadbania o zdrowie"
"Materiały lub nagrania,Materiały lub nagrania,Posty na Instagramie/TikToku";"Opinia pojedynczego specjalisty";"Brak"
"Materiały lub nagrania,Materiały lub nagrania,Artykuły naukowe lub popularnonaukowe";"Naukowe portale internetowe";"Lepsza edukacja"
"Konsultacja ze specjalistą";"Opinia pojedynczego specjalisty";"Brak"
"Materiały lub nagrania,Artykuły naukowe lub popularnonaukowe";"Naukowe portale internetowe";"Rzetelne informacje"
"Artykuły naukowe lub popularnonaukowe";"Opinia pojedynczego specjalisty";"Chęć zadbania o zdrowie"
"Materiały lub nagrania,Materiały lub nagrania,Artykuły naukowe lub popularnonaukowe";"Opinia pojedynczego specjalistye medycyny funkcjonalnej";"Ciekawość"
"Materiały lub nagrania,Materiały lub nagrania,Artykuły naukowe lub popularnonaukowe";"Opinia zespołu lub instytutu";"Brak"
"Materiały lub nagrania,Szkolenia,Konsultacja ze specjalistą";"Opinia pojedynczego specjalisty";"Rzetelne informacje"
"Konsultacja ze specjalistą";"Opinia pojedynczego specjalisty";"Chęć zadbania o zdrowie"
"Materiały lub nagrania,Materiały lub nagrania,Szkolenia,Posty na Instagramie/TikToku";"Naukowe portale internetowe";"Lepsza edukacja"
"Artykuły naukowe lub popularnonaukowe";"Naukowe portale internetowe";"Ciekawość"
"Szkolenia,Konsultacja ze specjalistą,Posty na Instagramie/TikToku";"Naukowe portale internetowe";"Brak"
"Artykuły naukowe lub popularnonaukowe";"Naukowe portale internetowe";"Brak"
"Materiały lub nagrania,Posty na Instagramie/TikToku";"Opinia pojedynczego specjalisty";"Brak"
"Materiały lub nagrania,Materiały lub nagrania,Posty na Instagramie/TikToku,Artykuły naukowe lub popularnonaukowe";"Opinia zespołu lub instytutu";"Chęć zadbania o zdrowie"
"Materiały lub nagrania,Materiały lub nagrania,Materiały lub nagrania,Szkolenia";"Opinia pojedynczego specjalisty";"Lepsza edukacja"
"Materiały lub nagrania,Posty na Instagramie/TikToku";"Opinia pojedynczego specjalisty";"Nagrania edukacyjne"
"Materiały lub nagrania,Konsultacja ze specjalistą,Artykuły naukowe lub popularnonaukowe";"Opinia pojedynczego specjalisty";"Brak"
