Timestamp,Płeć ,Wiek,Kierunek studiów,Rok studiów,Jak często uprawiasz aktywność fizyczną?,Czy aktualnie stosujesz suplementy diety?  ,Jak często stosujesz suplementy?,Od jak dawna stosujesz suplementy?,Jakie suplementy stosujesz? (możesz wybrać więcej odpowiedzi),Czy zdarza Ci się przyjmować większą dawkę suplementu niż ta zalecana przez producenta na opakowaniu (np. dwie tabletki zamiast jednej)?  ,"Jeśli stosujesz więcej niż jeden preparat jednocześnie, czy sprawdzasz, czy ich składniki się nie powielają (np. czy witamina D nie znajduje się zarówno w multiwitaminie, jak i w osobnym preparacie)?  ","Czy decyzję o suplementacji konkretnego składnika (np. żelaza, witaminy D, magnezu) poprzedziłeś/aś wykonaniem badań krwi w celu stwierdzenia niedoboru?  ",Czy konsultujesz suplementację ze specjalistą?  ,Dlaczego stosujesz suplementy? (możesz wybrać więcej odpowiedzi),Skąd czerpiesz informacje o suplementach?,"Jak oceniasz swoją ogólną wiedzę o suplementach diety? Skala 1–5 (1 – bardzo niska, 5 – bardzo wysoka)",Jak oceniasz swoją wiedzę na temat bezpieczeństwa suplementacji? Skala 1–5,Jak oceniasz swoją wiedzę na temat interakcji suplementów z lekami?,Suplement diety to:,Czy suplementy muszą przechodzić badania kliniczne przed wprowadzeniem na rynek?,Nadmierne spożycie witaminy D może prowadzić do:,Kto odpowiada za bezpieczeństwo suplementów diety?,Czy suplementy mogą wchodzić w interakcje z lekami?,Czy suplementy mogą zawierać składniki w ilościach przekraczających zapotrzebowanie?,W jakiej formie najchętniej zdobywał(a)byś rzetelną wiedzę o suplementach?  ,Które źródło uznał(a)byś za najbardziej wiarygodne?,Co mogłoby zachęcić Cię do zdobywania wiedzy o suplementach?
2026/03/17 1:35:20 pm EET,Mężczyzna,>25,Dietetyka,Studia magisterskie uzupełniające,5 lub więcej razy w tygodniu,Tak,Codziennie,>3 lat,Witamina D;Magnez;Kreatyna,Nigdy – stosuję się ściśle do zaleceń.,"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).","Nie, nie konsultuję",Zapobieganie niedoborom;Zwiększenie energii,Dietetyk,4,4,4,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Artykuły popularnonaukowe,Instytucje zdrowia publicznego,Konsekwencje zdrowotne przy niestosowaniu się do zaleceń 
2026/03/17 5:36:22 pm EET,Kobieta,>25,Dietetyka,Studia magisterskie uzupełniające,Rzadziej niż raz w tygodniu,Tak,Kilka razy w tygodniu,1–3 lata,Witamina D;Magnez;Kwasy omega-3,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).","Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Tak, każdą suplementację konsultuję z wynikami badań","Nie, nie konsultuję",Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności,Lekarz;Dietetyk;Badania naukowe,4,3,3,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Artykuły popularnonaukowe,Naukowe portale internetowe,Czas
2026/03/17 7:24:08 pm EET,Kobieta,>25,Dietetyka,Studia magisterskie uzupełniające,Rzadziej niż raz w tygodniu,Tak,Kilka razy w tygodniu,1–3 lata,Witamina D;Magnez;Kwasy omega-3,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).","Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Tak, każdą suplementację konsultuję z wynikami badań","Nie, nie konsultuję",Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności,"Internet (artykuły, blogi);Dietetyk;Badania naukowe ",3,2,3,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Krótkie filmy edukacyjne;Warsztaty na uczelni,Badania naukowe,Więcej czasu 
2026/03/18 11:49:27 AM EET,Kobieta,>25,Dietetyka,V,1–2 razy w tygodniu,Tak,Codziennie,>3 lat,Witamina D;Magnez;Witamina C;Multiwitaminy;Kwasy omega-3;Probiotyki;Białko,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).","Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Tak, każdą suplementację konsultuję z wynikami badań","Tak, z dietetykiem","Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii;Poprawa koncentracji;Poprawa samopoczucia","Internet (artykuły, blogi);Media społecznościowe;Dietetyk",5,5,5,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Krótkie filmy edukacyjne;Podcasty;Warsztaty na uczelni;Artykuły popularnonaukowe,Dietetyk,naukowe dowody na ich skuteczność
2026/04/01 9:09:15 pm EET,Kobieta,23–25,Dietetyka,V,3–4 razy w tygodniu,Tak,Codziennie,>3 lat,Witamina D;Multiwitaminy;Kwasy omega-3;Probiotyki;Białko,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).","Tak, zawsze analizuję składy pod kątem powtarzających się substancji.",Zrobiłem/am badania tylko w przypadku niektórych preparatów.,"Tak, z dietetykiem","Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii;Poprawa koncentracji;Poprawa samopoczucia","Internet (artykuły, blogi);Dietetyk",4,3,3,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Ministerstwo Zdrowia,Tak,Tak,Krótkie filmy edukacyjne;Infografiki;Konsultacje z farmaceutą,Dietetyk,Bardziej atrakcyjne i zachęcające metody zdobywania wiedzy 
2026/04/12 5:17:05 pm EET,Kobieta,< 20,Dietetyka,II,5 lub więcej razy w tygodniu,Tak,Codziennie,>3 lat,Witamina D;Magnez;Witamina C;Kwasy omega-3;Probiotyki;Białko,Nigdy – stosuję się ściśle do zaleceń.,"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Tak, każdą suplementację konsultuję z wynikami badań","Tak, z dietetykiem","Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii;Poprawa koncentracji;Poprawa samopoczucia",Dietetyk;Farmaceuta;Znajomi/rodzina,4,5,4,Środek spożywczy uzupełniający dietę,Tak,Uszkodzenia nerek,Sanepid bada każdy produkt przed sprzedażą,Tak,Tak,Warsztaty na uczelni;Konsultacje z farmaceutą;Posty na Instagramie/TikToku;Artykuły popularnonaukowe,Instytucje zdrowia publicznego,"Edukacja o tym, jak sprawdzać suplementy w rejestrach"
2026/04/13 11:13:51 am EET,Kobieta,>25,Dietetyka,V,1–2 razy w tygodniu,Tak,Kilka razy w miesiącu,< 3 miesięcy,Witamina D;Magnez;Kwasy omega-3;Białko,"Często – uważam, że standardowe dawki są zbyt niskie.","Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Tak, każdą suplementację konsultuję z wynikami badań","Tak, z dietetykiem","Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii",Dietetyk,4,4,4,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Infografiki;Podcasty,Dietetyk,Jestem zachęcona
2026/04/13 11:52:07 am EET,Kobieta,23–25,Dietetyka,Studia magisterskie uzupełniające,3–4 razy w tygodniu,Tak,Codziennie,1–3 lata,Witamina D;Kwasy omega-3;Probiotyki,Nigdy – stosuję się ściśle do zaleceń.,"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Tak, każdą suplementację konsultuję z wynikami badań","Tak, z lekarzem","Poprawa zdrowia, zlecone przez lekarza","Internet (artykuły, blogi);Lekarz;Dietetyk;Znajomi/rodzina",4,5,5,Preparat o udowodnionym działaniu terapeutycznym,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Infografiki;Konsultacje z farmaceutą,Lekarz,Szybki dostęp do informacji
2026/04/25 03:41:45 PM EET,Kobieta,23–25,Dietetyka,V,5 lub więcej razy w tygodniu,Tak,Codziennie,>3 lat,Witamina D;Magnez;Multiwitaminy;Kwasy omega-3;Probiotyki,Nigdy – stosuję się ściśle do zaleceń.,"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.",Zrobiłem/am badania tylko w przypadku niektórych preparatów.,"Tak, z dietetykiem","Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii;Poprawa koncentracji;Poprawa samopoczucia","Internet (artykuły, blogi);Dietetyk;Znajomi/rodzina",5,5,5,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Krótkie filmy edukacyjne;Warsztaty na uczelni;Konsultacje z farmaceutą,Dietetyk,poprawić mój ogólny stan zdrowia
2026/04/26 10:17:01 AM EET,Kobieta,< 20,Dietetyka,I,1–2 razy w tygodniu,Tak,Codziennie,3–12 miesięcy,Multiwitaminy;Kwasy omega-3;Probiotyki,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).",Stosuję tylko jeden preparat.,"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.","Nie, nie konsultuję",Poprawa zdrowia;Wzmocnienie odporności,"Internet (artykuły, blogi);Reklamy;Dietetyk",2,3,4,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Krótkie filmy edukacyjne;Warsztaty na uczelni;Artykuły popularnonaukowe,Dietetyk,"moje studia dietetyczne są ważnym powodem, aby dowiedzieć się więcej"
2026/05/03 04:21:38 PM EET,Kobieta,>25,Dietetyka,Studia magisterskie uzupełniające,5 lub więcej razy w tygodniu,Tak,Codziennie,>3 lat,"Witamina D;Magnez;Kwasy omega-3;Kreatyna;Białko;Cytrulina, beta alanina",Nigdy – stosuję się ściśle do zaleceń.,"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.",Zrobiłem/am badania tylko w przypadku niektórych preparatów.,Z trenerem,Poprawa wyników sportowych i regeneracji ,Dietetyk,5,5,5,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Krótkie filmy edukacyjne;Podcasty,Naukowe portale internetowe,-
2026/05/06 08:09:05 AM EET,Kobieta,23–25,Dietetyka,IV,3–4 razy w tygodniu,Tak,Codziennie,>3 lat,Witamina D;Magnez;Multiwitaminy;Kwasy omega-3;Probiotyki;Białko,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).",Czasami zwracam na to uwagę,"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.","Tak, z dietetykiem",Poprawa zdrowia;Wzmocnienie odporności;Zwiększenie energii;Poprawa koncentracji;Poprawa samopoczucia,"Internet (artykuły, blogi);Media społecznościowe;Reklamy;Dietetyk",4,4,4,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Krótkie filmy edukacyjne;Warsztaty na uczelni;Posty na Instagramie/TikToku,Dietetyk,Więcej ciekawych filmików edukacyjnych
2026/03/16 6:56:47 pm EET,Kobieta,23–25,Dietetyka,Studia magisterskie uzupełniające,3–4 razy w tygodniu,Tak,Codziennie,1–3 lata,"Witamina D;Witamina C;Kwasy omega-3;Probiotyki;Witamina A, E, K, B6, B12, Cynk, Kwas foliowy","Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).","Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Tak, każdą suplementację konsultuję z wynikami badań","Tak, z lekarzem",Poprawa zdrowia,Lekarz,5,5,5,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Krótkie filmy edukacyjne,Lekarz,Nic
2026/03/19 03:53:27 PM EET,Mężczyzna,>25,Dietetyka,Studia magisterskie uzupełniające,5 lub więcej razy w tygodniu,Tak,Codziennie,>3 lat,Witamina D;Kreatyna,Nigdy – stosuję się ściśle do zaleceń.,Czasami zwracam na to uwagę,Zrobiłem/am badania tylko w przypadku niektórych preparatów.,"Nie, nie konsultuję",Zwiększenie energii,"Internet (artykuły, blogi)",5,5,5,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Artykuły popularnonaukowe,Naukowe portale internetowe,Skutki uboczne 
2026/04/01 11:41:17 pm EET,Kobieta,20–22,Dietetyka,III,1–2 razy w tygodniu,Tak,Codziennie,3–12 miesięcy,Witamina D;Magnez;Witamina C;Kwasy omega-3,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).","Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Nie, stosuję suplementy bez wykonywania wcześniejszych badań.","Nie, nie konsultuję",Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Zwiększenie energii,"Internet (artykuły, blogi)",3,3,3,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Krótkie filmy edukacyjne;Infografiki;Podcasty;Posty na Instagramie/TikToku;Artykuły popularnonaukowe,Lekarz,Ciekawość jak działa organizm i dlaczego dany suplement jest przydatny 
2026/04/01 9:44:12 pm EET,Kobieta,>25,Dietetyka,IV,3–4 razy w tygodniu,Tak,Codziennie,>3 lat,Witamina D;Kwasy omega-3,Nigdy – stosuję się ściśle do zaleceń.,"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.",Zrobiłem/am badania tylko w przypadku niektórych preparatów.,Na podstawie własnej wiedzy,Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa koncentracji;Poprawa samopoczucia,Dietetyk;PubMed,4,4,3,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Krótkie filmy edukacyjne;Infografiki,Farmaceuta,Rzetelne ulotki w aptekach
2026/04/04 8:35:52 pm EET,Kobieta,>25,Dietetyka,IV,3–4 razy w tygodniu,Tak,Codziennie,1–3 lata,"Witamina D;Kwasy omega-3;Kreatyna;complex B, laktoferyna + szczep L. plantarum (problemy z żelazem i niską ferrytyna)",Nigdy – stosuję się ściśle do zaleceń.,"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Tak, każdą suplementację konsultuję z wynikami badań","Nie, nie konsultuję",Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Zwiększenie energii;Poprawa koncentracji;Poprawa samopoczucia,"Dietetyk;badania naukowe, studia ",4,5,4,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Nie,Podcasty;Warsztaty na uczelni;Artykuły popularnonaukowe,Lekarz,"jakaś ciekawa kampania edukacyjna pokazująca prawdziwe oblicze, do tej pory suplementy są uważane za rozwiązanie każdego problemu a niestety tak to nie działa "
2026/04/13 11:30:19 am EET,Kobieta,23–25,Dietetyka,Studia magisterskie uzupełniające,3–4 razy w tygodniu,Tak,Codziennie,>3 lat,Witamina D;Magnez;Kwasy omega-3;Probiotyki;Kreatyna,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).","Tak, zawsze analizuję składy pod kątem powtarzających się substancji.",Zrobiłem/am badania tylko w przypadku niektórych preparatów.,"Nie, nie konsultuję","Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii;Poprawa koncentracji;Poprawa samopoczucia","Internet (artykuły, blogi)",5,5,5,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Podcasty;Warsztaty na uczelni;Konsultacje z farmaceutą;Artykuły popularnonaukowe,Farmaceuta,Nie wiem 
2026/05/12 12:49:39 pm EEST,Kobieta,>25,Dietetyka,Studia magisterskie uzupełniające,Rzadziej niż raz w tygodniu,Nie,Sporadycznie,< 3 miesięcy,Witamina D;Magnez;Witamina C;Kwasy omega-3,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).",Czasami zwracam na to uwagę,Zrobiłem/am badania tylko w przypadku niektórych preparatów.,"Nie, nie konsultuję",Poprawa zdrowia;Wzmocnienie odporności;Poprawa koncentracji,"Internet (artykuły, blogi);Media społecznościowe;Dietetyk",3,2,3,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Nie wiem,Krótkie filmy edukacyjne;Infografiki,Naukowe portale internetowe,Wyniki badan 
2026/05/14 09:03:18 AM EET,Kobieta,>25,Dietetyka,V,3–4 razy w tygodniu,Tak,Codziennie,3–12 miesięcy,Witamina D;Probiotyki,Nigdy – stosuję się ściśle do zaleceń.,"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Tak, każdą suplementację konsultuję z wynikami badań","Tak, z lekarzem",Wzmocnienie odporności,Lekarz,5,5,5,Środek spożywczy uzupełniający dietę,Nie,Brak skutków ubocznych,Producent,Tak,Tak,Warsztaty na uczelni,Lekarz,"Prosty, szybki, przekaz"
2026/05/14 7:06:33 am EEST,Kobieta,>25,Dietetyka kliniczna,IV,1–2 razy w tygodniu,Tak,Codziennie,>3 lat,Witamina D;Magnez;Witamina C;Kwasy omega-3;Probiotyki,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).","Tak, zawsze analizuję składy pod kątem powtarzających się substancji.",Zrobiłem/am badania tylko w przypadku niektórych preparatów.,"Tak, z lekarzem",Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności,Lekarz;Książki ,4,4,4,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Artykuły popularnonaukowe,Naukowe portale internetowe,Więcej czasu :)
