"Suplement diety to:";"Czy suplementy muszą przechodzić badania kliniczne przed wprowadzeniem na rynek?";"Nadmierne spożycie witaminy D może prowadzić do:";"Kto odpowiada za bezpieczeństwo suplementów diety?";"Czy suplementy mogą wchodzić w interakcje z lekami?";"Czy suplementy mogą zawierać składniki w ilościach przekraczających zapotrzebowanie?"
"Środek spożywczy uzupełniający dietę";"Tak";"Uszkodzenia nerek";"Sanepid bada każdy produkt przed sprzedażą";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Preparat o udowodnionym działaniu terapeutycznym";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Nie"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Nie wiem"
"Środek spożywczy uzupełniający dietę";"Nie";"Brak skutków ubocznych";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Tak";"Niedokrwistości";"Nie wiem";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Tylko niektóre";"Uszkodzenia nerek";"Sanepid bada każdy produkt przed sprzedażą";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie wiem";"Nie wiem";"Nie wiem";"Nie wiem";"Tak"
"Środek spożywczy uzupełniający dietę";"Tylko niektóre";"Uszkodzenia nerek";"Producent";"Tak";"Nie wiem"
"Środek spożywczy uzupełniający dietę";"Nie wiem";"Nie wiem";"Sanepid bada każdy produkt przed sprzedażą";"Tylko witaminy";"Nie wiem"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Tak";"Nie wiem";"Nie wiem";"Tak";"Tylko minerały"
"Środek spożywczy uzupełniający dietę";"Tak";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Sanepid bada każdy produkt przed sprzedażą";"Tak";"Tak"
"Preparat o udowodnionym działaniu terapeutycznym";"Tak";"Nie wiem";"Ministerstwo Zdrowia";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Tak";"Niedokrwistości";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Nie wiem";"Producent";"Tak";"Tak"
"Preparat o udowodnionym działaniu terapeutycznym";"Tak";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie wiem";"Brak skutków ubocznych";"Producent";"Nie wiem";"Nie wiem"
"Środek spożywczy uzupełniający dietę";"Tak";"Uszkodzenia nerek";"Producent";"Tak";"Nie"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Tak";"Nie wiem";"Nie wiem";"Tak";"Tylko minerały"
"Środek spożywczy uzupełniający dietę";"Tak";"Uszkodzenia nerek";"Sanepid bada każdy produkt przed sprzedażą";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Tylko niektóre";"Nie wiem";"Ministerstwo Zdrowia";"Tak";"Nie wiem"
"Środek spożywczy uzupełniający dietę";"Tak";"Nie wiem";"Producent";"Tak";"Nie wiem"
"Produkt leczniczy";"Tak";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Preparat o udowodnionym działaniu terapeutycznym";"Tak";"Brak skutków ubocznych";"Ministerstwo Zdrowia";"Nie wiem";"Nie wiem"
"Środek spożywczy uzupełniający dietę";"Nie";"Brak skutków ubocznych";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Tak";"Nie wiem";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Produkt leczniczy";"Nie wiem";"Nie wiem";"Nie wiem";"Tak";"Nie wiem"
"Środek spożywczy uzupełniający dietę";"Tak";"Brak skutków ubocznych";"Ministerstwo Zdrowia";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Tylko niektóre";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Produkt leczniczy";"Tak";"Nie wiem";"Nie wiem";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie wiem";"Uszkodzenia nerek";"Nie wiem";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Tak";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Tylko niektóre";"Uszkodzenia nerek";"Producent";"Tak";"Nie"
"Środek spożywczy uzupełniający dietę";"Nie";"Niedokrwistości";"Sanepid bada każdy produkt przed sprzedażą";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Tak";"Nie wiem";"Nie wiem";"Tak";"Nie wiem"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Sanepid bada każdy produkt przed sprzedażą";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Sanepid bada każdy produkt przed sprzedażą";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie wiem";"Uszkodzenia nerek";"Nie wiem";"Tak";"Nie wiem"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Ministerstwo Zdrowia";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Tylko niektóre";"Nie wiem";"Sanepid bada każdy produkt przed sprzedażą";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Produkt leczniczy";"Tak";"Nie wiem";"Nie wiem";"Tak";"Nie"
"Produkt leczniczy";"Tylko niektóre";"Niedokrwistości";"Sanepid bada każdy produkt przed sprzedażą";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Tak";"Uszkodzenia nerek";"Nie wiem";"Tak";"Nie wiem"
"Środek spożywczy uzupełniający dietę";"Tylko niektóre";"Niedokrwistości";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Tak";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Tak";"Uszkodzenia nerek";"Producent";"Tak";"Nie"
"Środek spożywczy uzupełniający dietę";"Tylko niektóre";"Uszkodzenia nerek";"Ministerstwo Zdrowia";"Tak";"Nie"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Tylko niektóre";"Nie wiem";"Nie wiem";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Niedokrwistości";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Tylko niektóre";"Uszkodzenia nerek";"Producent";"Tak";"Nie wiem"
"Środek spożywczy uzupełniający dietę";"Nie wiem";"Niedokrwistości";"Nie wiem";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Tak";"Nie wiem";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie wiem";"Nie wiem";"Nie wiem";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Tak";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Produkt leczniczy";"Nie wiem";"Nie wiem";"Producent";"Tak";"Nie"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Produkt leczniczy";"Tak";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Tak";"Nie wiem";"Nie wiem";"Nie wiem";"Nie wiem"
"Środek spożywczy uzupełniający dietę";"Tak";"Niedokrwistości";"Producent";"Tak";"Nie"
"Środek spożywczy uzupełniający dietę";"Nie wiem";"Nie wiem";"Producent";"Nie wiem";"Nie"
"Środek spożywczy uzupełniający dietę";"Nie wiem";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Brak skutków ubocznych";"Producent";"Tak";"Tak"
"Nie wiem";"Nie wiem";"Nie wiem";"Nie wiem";"Tak";"Tylko minerały"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie wiem";"Nie wiem";"Nie wiem";"Nie wiem";"Nie wiem"
"Środek spożywczy uzupełniający dietę";"Tak";"Nie wiem";"Producent";"Nie wiem";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
